campaignId,campaignName,dateHourMinute,eventName,sessions
(not set),(referral),202302021555,general_mql,1
(not set),(referral),202302031529,general_mql,1
(not set),(referral),202302041416,general_mql,1
(not set),(referral),202302051509,general_mql,1
(not set),(referral),202302051510,general_mql,1
(not set),(referral),202302052119,general_mql,1
(not set),(referral),202302062154,general_mql,1
(not set),(referral),202302081349,general_mql,1
(not set),(referral),202302081444,general_mql,1
(not set),(referral),202302091327,general_mql,1
(not set),(referral),202302091329,general_mql,1
(not set),(referral),202302091535,general_mql,1
(not set),(referral),202302091540,general_mql,1
(not set),(referral),202302092141,general_mql,1
(not set),(referral),202302100914,general_mql,1
(not set),(referral),202302101359,general_mql,1
(not set),(referral),202302112313,general_mql,1
(not set),(referral),202302130812,general_mql,1
(not set),(referral),202302131620,general_mql,1
(not set),(referral),202302141551,general_mql,1
(not set),(referral),202302141822,general_mql,1
(not set),(referral),202302151222,general_mql,1
(not set),(referral),202302160115,general_mql,1
(not set),(referral),202302161326,general_mql,1
(not set),(referral),202302161511,general_mql,1
(not set),(referral),202302170730,general_mql,1
(not set),(referral),202302171102,general_mql,1
(not set),(referral),202302171703,general_mql,1
(not set),(referral),202302171706,general_mql,1
(not set),(referral),202302172034,general_mql,1
(not set),(referral),202302201412,general_mql,1
(not set),(referral),202302201848,general_mql,1
(not set),(referral),202302210912,general_mql,1
(not set),(referral),202302211130,general_mql,1
(not set),(referral),202302221237,general_mql,1
(not set),(referral),202302230932,general_mql,1
(not set),(referral),202302242320,general_mql,1
(not set),(referral),202302242321,general_mql,1
(not set),(referral),202302261139,general_mql,1
(not set),(referral),202302270753,general_mql,1
(not set),(referral),202302271340,general_mql,1
(not set),(referral),202302271505,general_mql,1
(not set),(referral),202302271743,general_mql,1
(not set),(referral),202302281207,general_mql,1
(not set),(referral),202303010853,general_mql,1
(not set),(referral),202303011005,general_mql,1
(not set),(referral),202303021736,general_mql,1
(not set),(referral),202303031025,general_mql,1
(not set),(referral),202303031244,general_mql,1
(not set),(referral),202303071646,general_mql,1
(not set),(referral),202303072035,general_mql,1
(not set),(referral),202303080747,general_mql,1
(not set),(referral),202303080749,general_mql,1
(not set),(referral),202303092305,general_mql,1
(not set),(referral),202303092308,general_mql,1
(not set),(referral),202303112126,general_mql,1
(not set),(referral),202303140831,general_mql,1
(not set),(referral),202303141211,general_mql,1
(not set),(referral),202303141607,general_mql,1
(not set),(referral),202303160750,general_mql,1
(not set),(referral),202303161048,general_mql,1
(not set),(referral),202303161605,general_mql,1
(not set),(referral),202303171040,general_mql,1
(not set),(referral),202303171041,general_mql,1
(not set),(referral),202303171042,general_mql,1
(not set),(referral),202303171424,general_mql,1
(not set),(referral),202303171527,general_mql,1
(not set),(referral),202303171529,general_mql,1
(not set),(referral),202303191202,general_mql,1
(not set),(referral),202303200938,general_mql,1
(not set),(referral),202303201607,general_mql,1
(not set),(referral),202303211107,general_mql,1
(not set),(referral),202303221332,general_mql,1
(not set),(referral),202303221333,general_mql,1
(not set),(referral),202303221334,general_mql,1
(not set),(referral),202303221605,general_mql,1
(not set),(referral),202303231148,general_mql,1
(not set),(referral),202303271225,general_mql,1
(not set),(referral),202303271242,general_mql,1
(not set),(referral),202303271247,general_mql,1
(not set),(referral),202303271256,general_mql,1
(not set),(referral),202303271809,general_mql,1
(not set),(referral),202303271822,general_mql,1
(not set),(referral),202303280500,general_mql,1
(not set),(referral),202303281142,general_mql,1
(not set),(referral),202303281400,general_mql,1
(not set),(referral),202303281452,general_mql,1
(not set),(referral),202303281631,general_mql,1
(not set),(referral),202303290734,general_mql,1
(not set),(referral),202303291203,general_mql,1
(not set),(referral),202303291338,general_mql,1
(not set),(referral),202303291339,general_mql,1
(not set),(referral),202303291521,general_mql,1
(not set),(referral),202303291539,general_mql,1
(not set),(referral),202303291700,general_mql,1
(not set),(referral),202303291730,general_mql,1
(not set),(referral),202303300847,general_mql,1
(not set),(referral),202303301125,general_mql,1
(not set),(referral),202303301519,general_mql,1
(not set),(referral),202303301520,general_mql,1
(not set),(referral),202303301643,general_mql,1
(not set),(referral),202303301705,general_mql,1
(not set),(referral),202303311703,general_mql,1
(not set),(referral),202304030955,general_mql,1
(not set),(referral),202304032327,general_mql,1
(not set),(referral),202304041223,general_mql,1
(not set),(referral),202304051010,general_mql,1
(not set),(referral),202304051215,general_mql,1
(not set),(referral),202304060940,general_mql,1
(not set),(referral),202304060941,general_mql,1
(not set),(referral),202304061450,general_mql,1
(not set),(referral),202304061805,general_mql,1
(not set),(referral),202304100911,general_mql,1
(not set),(referral),202304110126,general_mql,1
(not set),(referral),202304110127,general_mql,1
(not set),(referral),202304110614,general_mql,1
(not set),(referral),202304111128,general_mql,1
(not set),(referral),202304120926,general_mql,1
(not set),(referral),202304120937,general_mql,1
(not set),(referral),202304121043,general_mql,1
(not set),(referral),202304122223,general_mql,1
(not set),(referral),202304132158,general_mql,1
(not set),(referral),202304141633,general_mql,1
(not set),(referral),202304151641,general_mql,1
(not set),(referral),202304151654,general_mql,1
(not set),(referral),202304161936,general_mql,1
(not set),(referral),202304180815,general_mql,1
(not set),(referral),202304181032,general_mql,1
(not set),(referral),202304181240,general_mql,1
(not set),(referral),202304190027,general_mql,1
(not set),(referral),202304191033,general_mql,1
(not set),(referral),202304191034,general_mql,1
(not set),(referral),202304210411,general_mql,1
(not set),(referral),202304211324,general_mql,1
(not set),(referral),202304211334,general_mql,1
(not set),(referral),202304241649,general_mql,1
(not set),(referral),202304241651,general_mql,1
(not set),(referral),202304241713,general_mql,1
(not set),(referral),202304241714,general_mql,1
(not set),(referral),202304241716,general_mql,1
(not set),(referral),202304241717,general_mql,1
(not set),(referral),202304251337,general_mql,1
(not set),(referral),202304251434,general_mql,1
(not set),(referral),202304261713,general_mql,1
(not set),(referral),202304271511,general_mql,1
(not set),(referral),202304280901,general_mql,1
(not set),(referral),202304281605,general_mql,1
(not set),(referral),202304281725,general_mql,1
(not set),(referral),202305021022,general_mql,1
(not set),(referral),202305030713,general_mql,1
(not set),(referral),202305030714,general_mql,1
