campaignId,campaignName,date,advertiserAdClicks,advertiserAdCost
17207660104,AT_Search_Brand,27/10/2023,4,0.82
17207660104,AT_Search_Brand,18/10/2023,4,0.2
17207660104,AT_Search_Brand,09/10/2023,4,0.05
17207660104,AT_Search_Brand,29/09/2023,4,1.01
17207660104,AT_Search_Brand,12/09/2023,4,1.53
17207660104,AT_Search_Brand,29/08/2023,4,1.41
17207660104,AT_Search_Brand,22/06/2023,4,1.63
17207660104,AT_Search_Brand,25/05/2023,4,9.06
17207660104,AT_Search_Brand,15/05/2023,4,6.3
17207660104,AT_Search_Brand,10/05/2023,4,4.18
17207660104,AT_Search_Brand,06/05/2023,4,1.27
17207660104,AT_Search_Brand,18/04/2023,4,0.43
17207660104,AT_Search_Brand,06/04/2023,4,0.93
17207660104,AT_Search_Brand,05/04/2023,4,0.19
17207660104,AT_Search_Brand,03/04/2023,4,0.04
17207660104,AT_Search_Brand,29/03/2023,4,0.28
17207660104,AT_Search_Brand,27/03/2023,4,0.64
17207660104,AT_Search_Brand,15/03/2023,4,0.08
17207660104,AT_Search_Brand,03/03/2023,4,0.21
17207660104,AT_Search_Brand,01/03/2023,4,0.4
17207660104,AT_Search_Brand,14/02/2023,4,1.77
17207660104,AT_Search_Brand,04/01/2023,4,0.54
17207660104,AT_Search_Brand,14/12/2022,4,0.19
17207660104,AT_Search_Brand,06/12/2022,4,1.67
17207660104,AT_Search_Brand,05/12/2022,4,2.85
17207660104,AT_Search_Brand,27/11/2022,4,0.74
17207660104,AT_Search_Brand,23/11/2022,4,0.88
17207660104,AT_Search_Brand,17/11/2022,4,1.01
17207660104,AT_Search_Brand,10/11/2022,4,0.24
17207660104,AT_Search_Brand,07/11/2022,4,1.51
17207660104,AT_Search_Brand,27/10/2022,4,0.45
17207660104,AT_Search_Brand,24/10/2022,4,1.8
17207660104,AT_Search_Brand,12/10/2022,4,0.14
17207660104,AT_Search_Brand,10/10/2022,4,0.31
17207660104,AT_Search_Brand,30/09/2022,4,0.11
17207660104,AT_Search_Brand,29/09/2022,4,4.26
17207660104,AT_Search_Brand,16/09/2022,4,0.26
17207660104,AT_Search_Brand,15/09/2022,4,2.17
17207660104,AT_Search_Brand,14/09/2022,4,1.41
17207660104,AT_Search_Brand,13/09/2022,4,0.62
17207660104,AT_Search_Brand,12/09/2022,4,2.4
17207660104,AT_Search_Brand,17/08/2022,4,1.25
17207660104,AT_Search_Brand,15/08/2022,4,4.97
17207660104,AT_Search_Brand,21/07/2022,4,1.28
17207660104,AT_Search_Brand,18/07/2022,4,3.58
17207660104,AT_Search_Brand,14/07/2022,4,2.04
17207660104,AT_Search_Brand,02/07/2022,4,0.96
17207660104,AT_Search_Brand,05/04/2024,5,0.69
17207660104,AT_Search_Brand,15/03/2024,5,1.26
17207660104,AT_Search_Brand,11/03/2024,5,0.26
17207660104,AT_Search_Brand,07/03/2024,5,1.86
17207660104,AT_Search_Brand,19/02/2024,5,1.19
17207660104,AT_Search_Brand,08/02/2024,5,2.03
17207660104,AT_Search_Brand,08/01/2024,5,1.73
17207660104,AT_Search_Brand,21/12/2023,5,1.12
17207660104,AT_Search_Brand,18/12/2023,5,0.69
17207660104,AT_Search_Brand,15/12/2023,5,0.93
17207660104,AT_Search_Brand,30/11/2023,5,0.92
17207660104,AT_Search_Brand,20/11/2023,5,1.25
17207660104,AT_Search_Brand,15/11/2023,5,1.02
17207660104,AT_Search_Brand,09/11/2023,5,0.88
17207660104,AT_Search_Brand,07/11/2023,5,1.08
17207660104,AT_Search_Brand,31/10/2023,5,1.53
17207660104,AT_Search_Brand,11/10/2023,5,1.34
17207660104,AT_Search_Brand,28/09/2023,5,0.27
17207660104,AT_Search_Brand,22/09/2023,5,0.56
17207660104,AT_Search_Brand,07/09/2023,5,0.96
17207660104,AT_Search_Brand,28/08/2023,5,1.27
17207660104,AT_Search_Brand,22/08/2023,5,0.32
17207660104,AT_Search_Brand,12/06/2023,5,7.3
17207660104,AT_Search_Brand,02/05/2023,5,3.47
17207660104,AT_Search_Brand,07/03/2023,5,1.3
17207660104,AT_Search_Brand,06/03/2023,5,3.82
17207660104,AT_Search_Brand,02/03/2023,5,13.56
17207660104,AT_Search_Brand,22/02/2023,5,3.41
17207660104,AT_Search_Brand,15/02/2023,5,2.7
17207660104,AT_Search_Brand,13/02/2023,5,1.47
17207660104,AT_Search_Brand,09/02/2023,5,1.81
17207660104,AT_Search_Brand,26/01/2023,5,2.46
17207660104,AT_Search_Brand,17/01/2023,5,1.54
17207660104,AT_Search_Brand,13/01/2023,5,16.32
17207660104,AT_Search_Brand,07/12/2022,5,0.31
17207660104,AT_Search_Brand,30/11/2022,5,0.84
