pk_order,fk_seller,dt_checkout_date,cohort,ds_type_of_load,adjusted_gmv,adjusted_net_revenue,adjusted_contribution_margin
a0b09000000HzaZAAS,0010900000RGLJ6AAP,2021-06-23,2021-06-23,Mixed,6563.7000,1009.8000,59.8000
a0b09000000I0gcAAC,0010900000Ux6k6AAB,2021-06-25,2021-06-25,Mixed,39992.6000,21054.6000,21054.6000
a0b09000000I1vUAAS,0010900000Ux6mlAAB,2021-06-29,2021-06-29,Mixed,0.0000,-18938.0000,-18938.0000
a0b09000000I1xLAAS,0010900000UwFMCAA3,2021-06-30,2021-06-30,Mixed,1147.5000,127.5000,127.5000
a0b09000000I1zmAAC,0010900000RGH4NAAX,2021-07-01,2021-07-01,Mixed,8420.6000,474.4000,474.4000
a0b09000000I3SzAAK,00109000009gobPAAQ,2021-07-06,2021-07-06,Mixed,16890.6300,1514.6300,1344.3300
a0b09000000I42WAAS,0010900000UxhwaAAB,2021-07-07,2021-07-07,Mixed,8841.5600,229.3200,-38.1800
a0b09000000I42gAAC,00109000009gsyPAAQ,2021-07-07,2021-07-07,Mixed,19590.0000,522.4000,522.4000
a0b09000000I42qAAC,00109000009gpd9AAA,2021-07-07,2021-07-07,Mixed,9843.4000,1548.4000,1548.4000
a0b09000000I44qAAC,0010900000UxMiWAAV,2021-07-08,2021-07-08,Mixed,27267.5000,1193.2000,1263.2000
a0b09000000I6AQAA0,0010900000XVpC7AAL,2021-07-13,2021-07-13,Mixed,13981.8000,545.4000,13.5000
a0b09000000I6VsAAK,0010900000UxWeIAAV,2021-07-14,2021-07-14,Mixed,15360.0000,15360.0000,20916.4800
a0b09000000I6vJAAS,00109000009gntxAAA,2021-07-20,2021-07-20,Mixed,4673.5000,1078.5000,358.5000
a0b09000000I6xGAAS,0010900000YloaKAAR,2021-07-21,2021-07-21,Mixed,6281.3000,693.3400,63.3400
a0b09000000IhdfAAC,0010900000Ykkx0AAB,2021-07-27,2021-07-27,Mixed,4011.2000,339.8000,159.8000
a0b09000000Ihe9AAC,0010900000REmCDAA1,2021-07-27,2021-07-27,Mixed,16932.0000,1328.0000,225.2000
a0b09000000Iib8AAC,0010900000XVmooAAD,2021-07-28,2021-07-28,Mixed,10524.4900,1112.4900,-127.5100
a0b09000000IkWZAA0,0010900000Zek0NAAR,2021-08-03,2021-08-03,Mixed,74048.8000,5038.4000,4048.4000
a0b09000000IkbzAAC,0010900000Zdq55AAB,2021-08-04,2021-08-04,Mixed,4951.5500,800.5500,-99.4500
a0b09000000Ikc9AAC,00109000009gszoAAA,2021-08-04,2021-08-04,Mixed,11860.3600,1510.6100,1326.6600
a0b09000000IkdzAAC,00109000009goiLAAQ,2021-08-04,2021-08-04,Mixed,18011.5000,297.4000,297.4000
a0b09000000IkigAAC,0010900000ZdJtZAAV,2021-08-04,2021-08-04,Mixed,17481.1500,1054.8000,554.8000
a0b09000000ImIWAA0,0010900000ZeMe8AAF,2021-08-10,2021-08-10,Mixed,86882.4700,3033.9100,3223.9100
a0b09000000gJVuAAM,00109000009gqDMAAY,2020-09-02,2020-09-02,Mixed,1734.8200,2234.8200,674.8200
a0b09000000gN5GAAU,00109000009h59NAAQ,2021-02-22,2021-02-22,Mixed,10873.7100,358.7000,358.7000
a0b09000001HkHzAAK,0010900000Zft0yAAB,2021-08-11,2021-08-11,Mixed,1239.5000,99.5000,99.5000
a0b09000001Hlh4AAC,0010900000cnJUDAA2,2021-08-18,2021-08-18,Mixed,10634.3000,385.7000,177.7000
a0b09000001HnobAAC,0010900000fW802AAC,2021-09-06,2021-09-06,Mixed,4116.0000,570.3000,-18.2400
a0b09000001Hnp0AAC,00109000009gqbTAAQ,2021-09-06,2021-09-06,Mixed,2162.0000,282.8000,160.0500
a0b09000001HpHfAAK,0010900000fWzPjAAK,2021-09-08,2021-09-08,Mixed,7928.2500,596.7500,398.5000
a0b09000001HpQzAAK,0010900000fWILNAA4,2021-09-09,2021-09-09,Mixed,6160.8000,1570.4000,1455.1500
a0b09000001HpR4AAK,0010900000fWENSAA4,2021-09-09,2021-09-09,Mixed,9116.1000,1649.5800,836.4300
a0b09000001Hpj6AAC,00109000009gsyPAAQ,2021-09-10,2021-07-07,Mixed,17769.7000,815.3600,815.3600
a0b09000001HqOaAAK,0010900000fYFpkAAG,2021-09-15,2021-09-15,Mixed,16218.0000,714.0000,169.0000
a0b09000001HrDgAAK,0010900000f84WEAAY,2021-09-17,2021-09-17,Mixed,19716.8400,1410.9500,1015.9500
a0b09000001HrLWAA0,0010900000fWDp2AAG,2021-09-20,2021-09-20,Mixed,11464.8000,631.7000,145.6500
a0b09000001HrRaAAK,00109000009gqbTAAQ,2021-09-21,2021-09-06,Mixed,510.4000,243.6000,121.1000
a0b09000001HutgAAC,0010900000cqOk7AAE,2021-10-06,2021-10-06,Mixed,2816.9400,275.3400,275.3400
a0b09000001HuvIAAS,0010900000IJ7jwAAD,2021-10-06,2021-10-06,Mixed,5608.3500,985.5400,985.5400
a0b09000001Hw1TAAS,00109000009goMJAAY,2021-10-12,2021-10-12,Mixed,8749.0200,135.1200,116.1200
a0b09000001HwhyAAC,0010900000pnz8rAAA,2021-10-14,2021-10-14,Mixed,718.3000,104.9500,104.9500
a0b09000001HxEWAA0,0010900000fXPrwAAG,2021-10-19,2021-10-19,Mixed,24886.2000,1265.4000,965.4000
a0b09000001HxWFAA0,0010900000poP4sAAE,2021-10-22,2021-10-22,Mixed,5354.4000,286.8000,168.5500
a0b09000001Hy5sAAC,0010900000pnq93AAA,2021-10-25,2021-10-25,Mixed,6454.6000,547.8500,403.5000
a0b09000001HyKVAA0,0010900000pq23cAAA,2021-10-28,2021-10-28,Mixed,76716.1100,4578.0100,3978.0100
a0b09000001HyU2AAK,0010900000rbBESAA2,2021-10-29,2021-10-29,Mixed,4200.0500,674.6800,-611.1600
a0b09000001HydqAAC,0010900000sn2lcAAA,2021-11-11,2021-11-11,Mixed,3949.1000,460.0400,461.7900
a0b09000001HztgAAC,0010900000tEPUBAA4,2021-11-08,2021-11-08,Mixed,134.4000,11.2000,11.2000
a0b09000001HzuZAAS,0010900000tE5M6AAK,2021-11-08,2021-11-08,Mixed,2248.3700,388.8200,388.8200
a0b09000001I0ESAA0,0010900000tEB2zAAG,2021-11-11,2021-11-11,Mixed,34496.8000,2256.8000,1056.8000
a0b09000001I0MGAA0,0010900000uS8dsAAC,2021-11-12,2021-11-12,Mixed,3509.2000,599.2000,456.7000
a0b09000001I11IAAS,00109000009gn5vAAA,2021-11-16,2021-11-16,Mixed,10071.3000,246.8000,246.8000
a0b09000001I19IAAS,0010900000sm5mAAAQ,2021-11-18,2021-11-18,Mixed,3163.9200,294.0000,294.0000
a0b09000001I1QoAAK,0010900000pnq93AAA,2021-11-22,2021-10-25,Mixed,13156.7500,996.0000,776.8000
a0b09000001I1R8AAK,0010900000vdwreAAA,2021-11-24,2021-11-24,Mixed,7581.3000,810.3000,625.9500
a0b09000001I2gaAAC,0010900000vfOnWAAU,2021-11-29,2021-11-29,Mixed,3812.2000,196.0000,35.7500
a0b09000001I2lLAAS,0010900000vfOw2AAE,2021-11-30,2021-11-30,Mixed,78.1800,28.8800,28.8800
a0b09000001I2wSAAS,00109000009gn79AAA,2021-12-06,2021-12-06,Mixed,4480.0000,880.0000,712.9500
a0b09000001I2yjAAC,0010900000z92ERAAY,2021-12-06,2021-12-06,Mixed,1378.0000,53.0000,53.0000
a0b09000001I36fAAC,0010900000tCZroAAG,2021-12-09,2021-12-09,Mixed,55424.2000,5396.2000,4296.2000
a0b09000001I36kAAC,0010900000tBX20AAG,2021-12-09,2021-12-09,Mixed,12545.6000,980.6000,330.6000
a0b09000001I37OAAS,0010900000z9KFRAA2,2021-12-09,2021-12-09,Mixed,13832.7600,776.7600,316.7600
a0b09000001I39tAAC,0010900000z9K2ZAAU,2021-12-10,2021-12-10,Mixed,5286.6000,391.6000,391.6000
a0b09000001I3VtAAK,00109000011jP8eAAE,2021-12-21,2021-12-21,Mixed,10989.0000,1165.5000,1165.5000
a0b09000001I3XyAAK,00109000011jPnkAAE,2021-12-21,2021-12-21,Mixed,308.7500,22.7500,22.7500
a0b09000001I3Y8AAK,0010900000z9K2ZAAU,2021-12-21,2021-12-10,Mixed,345.6000,25.6000,25.6000
a0b09000001I4WAAA0,0010900000BV045AAD,2022-01-12,2021-03-31,Mixed,4354.8000,534.8000,301.8000
a0b09000001I54PAAS,00109000013SiNlAAK,2022-01-19,2022-01-19,Mixed,16854.1300,2319.3800,969.3800
a0b09000001I6p0AAC,00109000014vZ0WAAU,2022-02-03,2022-02-03,Mixed,6040.0000,440.0000,350.0000
a0b09000001I6z3AAC,00109000014tC5fAAE,2022-02-03,2022-02-03,Mixed,4375.9200,294.0200,294.0200
a0b09000001I75zAAC,0010900000ivhwbAAA,2022-02-03,2022-02-03,Mixed,27969.7000,2975.5000,1725.5000
a0b09000001I8NsAAK,00109000009hErcAAE,2021-03-24,2021-03-02,Mixed,2247.3000,168.3000,91.3000
a0b09000001I8O2AAK,00109000009hErcAAE,2021-03-02,2021-03-02,Mixed,5754.5000,357.0000,187.0000
a0b09000001I9HbAAK,0010900000vev2GAAQ,2022-02-11,2022-02-11,Mixed,21652.4000,647.5000,647.5000
a0b09000001I9ykAAC,00109000009gniEAAQ,2022-02-16,2022-02-16,Mixed,39841.2300,3032.1300,1332.1300
a0b09000001IACrAAO,0010900000vf5U1AAI,2022-02-17,2022-02-17,Mixed,7934.4000,812.0000,617.0000
a0b09000001IE2zAAG,00109000017SsFfAAK,2022-03-03,2022-03-03,Mixed,3303.9500,523.2500,378.2500
a0b09000001IEPGAA4,00109000009gpf0AAA,2022-03-07,2022-03-07,Mixed,10143.0000,1851.4800,1841.6100
a0b09000001IF2qAAG,00109000009gs1hAAA,2022-03-17,2022-03-17,Mixed,13410.4000,736.0000,379.0500
a0b09000001IFiIAAW,0010900001BwTzMAAV,2022-03-23,2022-03-23,Mixed,9571.2000,1096.7000,446.7000
a0b09000001IGyTAAW,0010900001DtQDZAA3,2022-04-06,2022-04-06,Mixed,74361.6000,1236.6000,542.8500
a0b09000001IHySAAW,0010900001DvmliAAB,2022-04-12,2022-04-12,Mixed,626.0000,281.7000,201.7000
a0b09000001IKF9AAO,0010900001FksimAAB,2022-04-19,2022-04-19,Mixed,52346.8800,3590.8800,2440.8800
a0b09000001IVbUAAW,0010900001GmMetAAF,2022-05-09,2022-05-09,Mixed,3217.5000,58.5000,58.5000
a0b09000001IVmUAAW,0010900000ZeMe8AAF,2022-05-09,2021-08-10,Mixed,4695.3800,164.0400,167.2400
a0b09000001IYiKAAW,0010900001INMglAAH,2022-05-12,2022-05-12,Mixed,4849.3000,376.3000,376.3000
a0b09000001Ia6SAAS,0010900001INonFAAT,2022-05-13,2022-05-13,Mixed,5361.3500,364.3500,178.2500
a0b09000001IbYZAA0,0010900001INssvAAD,2022-05-16,2022-05-16,Mixed,1953.6000,811.0400,-266.3100
a0b09000001If3IAAS,0010900001INPQVAA5,2022-05-23,2022-05-23,Mixed,14698.9700,632.9700,632.9700
a0b09000001IjjkAAC,0010900001IP95wAAD,2022-06-01,2022-06-01,Mixed,8088.0000,2328.0000,1528.0000
a0b09000001Imw1AAC,0010900001LQmYpAAL,2022-06-14,2022-06-14,Acquisition,111132.4500,11166.5500,6866.5500
a0b09000001ImwQAAS,0010900001LO5AWAA1,2022-06-14,2022-06-14,Mixed,4631.4200,566.3400,-39.9200
a0b09000001Imy7AAC,00109000019J4cEAAS,2022-06-15,2022-06-15,Liquidation,111132.4500,11166.5500,9639.3000
a0b09000001ImyvAAC,0010900001INpipAAD,2022-06-15,2022-06-15,Acquisition,84171.2000,5253.9100,4824.9100
a0b09000001InGQAA0,0010900001MigH4AAJ,2022-06-17,2022-06-17,Mixed,6054.4000,1085.2000,736.2000
a0b09000001InggAAC,0010900001MjdSyAAJ,2022-06-27,2022-06-27,Liquidation,84047.3200,4967.1200,3824.1200
a0b09000001InpPAAS,0010900001OTY8PAAX,2022-06-29,2022-06-29,Mixed,5694.0000,219.0000,219.0000
