pk_order,fk_seller,dt_checkout_date,cohort,ds_type_of_load,adjusted_gmv,adjusted_net_revenue,adjusted_contribution_margin
a0b9N000000OxdAQAS,0019N000004WzrtQAC,2023-05-09,2023-05-09,Mixed,12045.2400,1785.2400,1600.2900
a0b9N000000OzybQAC,0019N000004aRgvQAE,2023-05-09,2023-05-09,Mixed,5040.7500,729.3000,379.3000
a0b9N000000P8ZmQAK,00109000009gqmMAAQ,2023-05-11,2023-05-11,Mixed,4771.0000,1284.5000,519.5000
a0b9N000000PLwJQAW,0019N000004HSOOQA4,2023-05-15,2023-05-15,Mixed,7162.2000,1072.6000,647.6000
a0b9N000000PjvkQAC,0019N000003TDCAQA4,2023-05-30,2023-05-30,Mixed,0.0000,0.0000,0.0000
a0b9N000000PoEBQA0,0019N000004bnrmQAA,2023-06-01,2023-06-01,Mixed,5949.9000,1983.3000,883.3000
a0b9N000000QC9dQAG,0019N0000047dmLQAQ,2023-06-14,2023-04-21,Mixed,32625.0000,15486.0000,8986.0000
a0b9N000000QLo5QAG,0019N000004pr8KQAQ,2023-06-19,2023-06-19,Mixed,3690.0000,360.0000,360.0000
a0b9N000000QLoPQAW,0019N000004qfpgQAA,2023-06-19,2023-06-19,Mixed,7033.0000,1082.0000,1082.0000
a0b9N000000QdLbQAK,0019N000004sRAkQAM,2023-06-22,2023-06-22,Mixed,3618.0000,402.0000,402.0000
a0b9N000000Ql42QAC,0019N000004bnrmQAA,2023-06-27,2023-06-01,Mixed,3592.9000,1390.8000,390.8000
a0b9N000000Qmi0QAC,0019N000004FCFlQAO,2023-06-27,2023-06-27,Mixed,28594.2900,3486.0600,1667.7500
a0b9N000000Re5vQAC,0019N000005029QQAQ,2023-07-24,2023-07-24,Mixed,11899.6000,1385.2000,1385.2000
a0b9N000000ReW9QAK,0019N0000051tOKQAY,2023-07-24,2023-07-24,Mixed,4467.0200,444.0700,339.0700
a0b9N000000RyLuQAK,0019N000004j6BkQAI,2023-08-03,2023-08-03,Mixed,24827.2000,1683.2000,983.2000
a0b9N000000RzMIQA0,0019N000004j6BkQAI,2023-08-03,2023-08-03,Mixed,10511.1200,1130.5200,630.5200
a0b9N000000S5z0QAC,0019N0000051fOHQAY,2023-08-10,2023-08-10,Mixed,21952.0000,4572.0000,1522.0000
a0b9N000000SOzWQAW,0010900001Gl6ycAAB,2023-08-25,2023-08-25,Mixed,9702.0000,-4508.0000,-4944.0000
a0b9N000000SU0cQAG,0019N000005BUhAQAW,2023-08-29,2023-08-29,Mixed,18018.0000,936.0000,366.0000
a0b9N000000SgWSQA0,0019N000005C2nQQAS,2023-09-04,2023-09-04,Mixed,14009.0000,320.5000,320.5000
a0b9N000000TZypQAG,0010900000FPTxxAAH,2023-09-20,2023-09-20,Mixed,2117.2000,252.8000,252.8000
a0b9N000000UGSbQAO,0019N000005Ib3mQAC,2023-10-05,2023-10-05,Acquisition,47574.6000,1500.1000,950.1000
a0b9N000000UHUMQA4,0019N000005Ib3mQAC,2023-10-05,2023-10-05,Acquisition,10878.0000,343.0000,-207.0000
a0b9N000000UQfeQAG,0019N000005Ib3mQAC,2023-10-09,2023-10-05,Acquisition,9623.7000,303.4500,-246.5500
a0b9N000000UYrgQAG,0019N000005GXgYQAW,2023-10-09,2023-10-09,Mixed,16462.1000,1178.1000,633.1000
a0b9N000000UZIyQAO,0019N000005LEKEQA4,2023-10-10,2023-10-10,Acquisition,13020.3000,997.0500,677.0500
a0b9N000000UcgTQAS,0019N000005LEKEQA4,2023-10-10,2023-10-10,Acquisition,29925.6000,2291.6000,1971.6000
a0b9N000000Xn0iQAC,0019N000005H6gxQAC,2023-10-23,2023-10-23,Mixed,1997.2800,110.9600,110.9600
a0b9N000000YwspQAC,00109000009gn2dAAA,2023-11-07,2023-11-07,Mixed,37953.2000,1707.1000,257.1000
a0b9N000000Z1ykQAC,0019N000005MClPQAW,2023-11-08,2023-11-08,Mixed,10968.1000,3160.3000,1270.3000
a0b9N000000ZNzjQAG,0019N000005MpqyQAC,2023-11-09,2023-11-09,Acquisition,69834.8000,694.4000,-5846.1500
a0b9N000000ZnvVQAS,00109000009hAtaAAE,2023-11-20,2023-11-20,Acquisition,16486.2000,1470.6000,1045.6000
a0b9N000000ZuwGQAS,00109000009gkYcAAI,2023-11-22,2023-11-22,Liquidation,69748.9000,3570.1000,1370.1000
a0b9N000000aPdIQAU,0019N000005H0CiQAK,2023-11-30,2023-11-30,Mixed,5779.2000,1857.6000,907.6000
a0b9N000000bDhIQAU,0019N000004ppuHQAQ,2023-12-11,2023-12-11,Mixed,6402.0000,640.2000,190.2000
a0b9N000000cXstQAE,0019N00000650oIQAQ,2024-01-11,2024-01-11,Mixed,7840.0000,640.0000,460.0000
a0b9N000000dJS3QAM,0019N00000690F0QAI,2024-01-26,2024-01-26,Mixed,22564.1000,102.1000,-797.9000
a0b9N000000dM3kQAE,0019N00000690F0QAI,2024-01-31,2024-01-26,Mixed,33947.9200,1976.4200,1126.4200
a0b9N000000VapuQAC,0019N000005Ib3mQAC,2023-10-13,2023-10-05,Acquisition,"","",""
a0b9N000000dj9TQAQ,0010900000BV045AAD,2024-03-06,2021-03-31,Mixed,4335.0000,510.0000,220.0000
a0b9N000000djAMQAY,0019N000006DOFHQA4,2024-03-06,2024-03-06,Mixed,5760.0000,660.0000,295.0000
a0b9N000000djfMQAQ,0019N000006DNscQAG,2024-03-07,2024-03-07,Mixed,6046.7000,1539.1600,1224.1600
a0b9N000000dkj5QAA,00109000009go48AAA,2024-03-11,2021-05-26,Mixed,23308.8000,698.0500,698.0500
a0b9N000000dlNeQAI,0019N000006EqF1QAK,2024-03-13,2024-03-13,Mixed,8487.5000,787.5000,307.5000
a0b9N000000dm2LQAQ,0019N000006Ez8zQAC,2024-03-15,2024-03-15,Mixed,28801.6000,3523.6000,1623.6000
a0bOj000001PGAfIAO,0019N0000068UhoQAE,2024-03-20,2024-03-20,Mixed,79617.2000,2058.2000,668.2000
a0bOj000001RYeYIAW,0019N000006DlMGQA0,2024-03-22,2024-03-22,Mixed,46560.0000,5760.0000,4810.0000
a0bOj000001RdhRIAS,001Oj0000072xXsIAI,2024-03-22,2024-03-22,Mixed,3500.0000,225.0000,225.0000
a0bOj000001WjvtIAC,001Oj0000076kAbIAI,2024-03-26,2024-03-26,Mixed,10560.0000,2160.0000,2160.0000
a0bOj000001evjpIAA,0019N000006DlMGQA0,2024-04-02,2024-03-22,Mixed,45840.0000,5040.0000,4090.0000
a0bOj000001ffQ3IAI,00109000009goOwAAI,2024-04-03,2024-04-03,Mixed,0.2300,0.2100,0.2100
a0bOj000001gujZIAQ,0019N000006DlMGQA0,2024-04-03,2024-03-22,Mixed,43200.0000,3600.0000,1905.0000
a0bOj000001hDELIA2,001Oj000007NhwIIAS,2024-04-03,2024-04-03,Mixed,91800.0000,9900.0000,9900.0000
