pk_order,fk_seller,fk_opportunity,dt_checkout_date,cohort,ds_type_of_load,adjusted_gmv,adjusted_net_revenue,adjusted_contribution_margin
a0b9N000000dDBxQAM,0019N000003XnZzQAK,0069N000003L4PVQA0,2024-01-19,2024-01-19,Acquisition,"","",""
a0b9N000000dHnAQAU,00109000009gn2dAAA,0069N000003WO8YQAW,2024-01-24,2023-11-07,Mixed,27510.3500,1365.3500,1365.3500
a0b9N000000dI4HQAU,0019N0000069KbAQAU,"",2024-01-24,2024-01-24,Liquidation,154069.4000,-921.4000,-921.4000
a0b9N000000dIbHQAU,0010900000ivpuHAAQ,0069N000003QKHvQAO,2024-01-25,2023-01-09,Acquisition,"","",""
a0b9N000000dL9qQAE,00109000009goheAAA,0069N000003X6rnQAC,2024-01-30,2023-04-07,Mixed,786.0000,157.2000,157.2000
a0b9N000000dfF5QAI,0019N000006DOPEQA4,0069N000003a6ROQAY,2024-02-26,2024-02-26,Mixed,9938.4000,1226.4000,634.4000
a0b9N000000di6vQAA,0019N000006DOPEQA4,0069N000003a6ROQAY,2024-03-04,2024-02-26,Mixed,9667.8000,1189.8000,596.8000
a0b9N000000dignQAA,00109000009gqrFAAQ,"",2024-03-05,2023-01-13,Acquisition,"","",""
a0b9N000000dlDqQAI,00109000009gqrFAAQ,"",2024-03-13,2023-01-13,Acquisition,"","",""
a0bOj000001ZtU5IAK,0019N000005BH6OQAW,0069N000003U5WBQA0,2024-03-28,2023-12-13,Acquisition,"","",""
a0b9N000000IO1WQAW,0019N000003XjBlQAK,"",2023-01-09,2023-01-09,Mixed,58987.1600,6019.5200,5940.4800
a0b9N000000JAiSQAW,00109000009gnFiAAI,0069N000002WdOKQA0,2023-01-19,2023-01-19,Mixed,12531.7500,683.5500,406.1500
a0b9N000000JuU1QAK,00109000009gnAqAAI,006090000096JLTAA2,2023-02-08,2023-02-08,Mixed,6974.8900,470.1800,470.1800
a0b9N000000KLYkQAO,0010900000XVmooAAD,0069N000002bN1UQAU,2023-02-14,2023-02-14,Mixed,12946.8600,1717.8600,1167.8600
