pk_order,fk_seller,fk_opportunity,dt_checkout_date,cohort,ds_type_of_load,adjusted_gmv,adjusted_net_revenue,adjusted_contribution_margin
a0b9N000000IgbtQAC,00109000009gnWVAAY,0069N000002RICGQA4,2023-01-02,2023-01-02,Mixed,8762.6000,1655.2400,155.2400
a0b9N000000IpyNQAS,0010900000ivGnXAAU,"",2023-01-09,2023-01-09,Mixed,54872.7500,5920.7100,4289.2600
a0b9N000000Isk8QAC,0019N000003MnlTQAS,0069N000002NWOpQAO,2023-01-10,2023-01-04,Mixed,18422.4000,1696.8000,446.8000
a0b9N000000IxeGQAS,0019N000003JyMeQAK,0069N000002VXUiQAO,2023-01-12,2023-01-12,Mixed,39157.9000,2030.0800,1160.0800
a0b9N000000J6YgQAK,0010900000IKtPVAA1,0069N000002RG23QAG,2023-01-17,2023-01-17,Mixed,11079.0000,1550.0000,1300.0000
a0b9N000000JJAXQA4,00109000009gnyVAAQ,0069N000002Pm5jQAC,2023-01-24,2023-01-24,Acquisition,24886.4000,8130.5000,8130.5000
a0b9N000000JLguQAG,0019N000003EQLpQAO,0069N000002XjktQAC,2023-01-25,2023-01-25,Mixed,62300.6400,5240.6400,3140.6400
a0b9N000000JTdrQAG,00109000017Se3TAAS,0060900000IHx19AAD,2023-01-30,2023-01-30,Mixed,7905.6000,524.8400,-175.1600
a0b9N000000JWJBQA4,0010900001QQUtcAAH,0069N000002YqQIQA0,2023-01-31,2023-01-31,Mixed,2745.0000,183.0000,183.0000
a0b9N000000JZH8QAO,00109000009gkK1AAI,0069N000002RFoYQAW,2023-01-30,2023-01-13,Mixed,48573.0300,2674.8300,1194.8300
a0b9N000000JhnGQAS,0010900001TGvjuAAD,"",2023-02-03,2023-02-01,Liquidation,46191.6000,9042.8000,2842.8000
a0b9N000000JynxQAC,0010900000BUssTAAT,0069N000002ahOHQAY,2023-02-09,2023-02-09,Mixed,8382.0000,762.0000,623.2500
a0b9N000000KJU4QAO,00109000009gqrFAAQ,"",2023-02-13,2023-01-13,Acquisition,12400.0000,5883.3000,5883.3000
a0b9N000000KWUSQA4,0019N000003o0UYQAY,0069N000002VYi3QAG,2023-02-16,2023-02-16,Liquidation,82135.0600,17990.2600,17990.2600
a0b9N000000Kv5uQAC,0010900000IKoxwAAD,0069N000002cFwxQAE,2023-02-22,2023-02-22,Mixed,4712.0200,256.0000,256.0000
a0b9N000000LJ98QAG,00109000009gnWVAAY,0069N000002bX3hQAE,2023-02-23,2023-01-02,Mixed,9649.9000,1634.9000,134.9000
a0b9N000000LjTsQAK,00109000009gkOwAAI,0069N000002dS5rQAE,2023-03-01,2023-03-01,Mixed,79430.0000,1128.0000,1128.0000
a0b9N000000MlZ6QAK,0010900000BUyvDAAT,0069N000002fxxbQAA,2023-03-22,2023-03-22,Mixed,194266.5600,1805.5200,705.5200
a0b9N000000N66hQAC,0010900000ivGnXAAU,"",2023-03-30,2023-01-09,Mixed,140505.8800,4203.7000,4203.7000
a0b9N000000NQpqQAG,0019N000004NckMQAS,0069N000002jJvhQAE,2023-04-06,2023-04-06,Mixed,3094.2000,802.2000,408.5000
a0b9N000000NaywQAC,00109000019J4cEAAS,0069N000002SQWYQA4,2023-04-13,2023-01-09,Liquidation,191066.1100,3595.0800,1948.4400
a0b9N000000NiQIQA0,00109000009gkQdAAI,0069N000002kNw8QAE,2023-04-17,2023-02-15,Mixed,34656.0000,2394.0000,1294.0000
a0b9N000000Nn8HQAS,0019N000004N8HTQA0,0069N000002kvwcQAA,2023-04-18,2023-04-18,Mixed,55632.0000,13908.0000,8538.0000
a0b9N000000NuXeQAK,00109000009gpRvAAI,0069N000002lAsyQAE,2023-04-20,2023-04-20,Mixed,3622.0800,157.7800,-207.5200
a0b9N000000NvcGQAS,00109000009gsyPAAQ,0069N000002lGHuQAM,2023-04-21,2023-02-23,Mixed,6198.5000,161.0000,161.0000
a0b9N000000O1rIQAS,0019N000003MnlTQAS,0069N000002jRbOQAU,2023-04-24,2023-01-04,Mixed,193380.6000,3773.2800,3773.2800
a0b9N000000OWYOQA4,00109000009gom6AAA,0069N000002ma9AQAQ,2023-05-03,2023-05-03,Mixed,533.5000,53.3500,53.3500
a0b9N000000OWjgQAG,00109000009gkaJAAQ,0069N000002maBBQAY,2023-05-03,2023-05-03,Mixed,50979.0500,2592.8600,2171.7000
a0b9N000000OrTBQA0,00109000009gkaJAAQ,0069N000002lbw8QAA,2023-05-08,2023-05-03,Mixed,49308.6100,2492.6000,1092.6000
a0b9N000000OrbAQAS,0019N000004ZHYtQAO,0069N000002mOgcQAE,2023-05-08,2023-05-08,Mixed,75291.3600,4800.0000,2750.0000
a0b9N000000OxmdQAC,00109000017SucvAAC,"",2023-05-09,2023-04-03,Mixed,193421.2700,8697.2400,8697.2400
a0b9N000000PJ2dQAG,00109000009gqrFAAQ,"",2023-05-12,2023-01-13,Acquisition,13797.0000,7039.4300,7039.4300
a0b9N000000PJ4PQAW,00109000009gqrFAAQ,"",2023-05-12,2023-01-13,Acquisition,14958.0000,7788.8000,7788.8000
a0b9N000000POJDQA4,00109000019J4cEAAS,0069N000002SQWYQA4,2023-05-16,2023-01-09,Liquidation,189922.3900,3701.7900,3461.9300
a0b9N000000PSwJQAW,0010900000YLAygAAH,0069N000002SRvtQAG,2023-05-19,2023-01-19,Mixed,179985.5800,1764.0700,-53.1700
a0b9N000000PUSdQAO,0019N000004hfMLQAY,0069N000002pJtVQAU,2023-05-22,2023-05-22,Acquisition,44384.0000,-14.2500,-14.2500
a0b9N000000PegeQAC,00109000009gnyVAAQ,0069N000002pVM8QAM,2023-05-26,2023-01-24,Mixed,825.3000,707.4000,57.4000
a0b9N000000PhjOQAS,0010900000XVmooAAD,0069N000002qbhvQAA,2023-05-30,2023-02-14,Mixed,13206.7200,1373.5200,813.5200
a0b9N000000PoEBQA0,0019N000004bnrmQAA,0069N000002nUvLQAU,2023-06-01,2023-06-01,Mixed,5949.9000,1983.3000,883.3000
a0b9N000000QC9dQAG,0019N0000047dmLQAQ,0069N000002dYm6QAE,2023-06-14,2023-04-21,Mixed,32625.0000,15486.0000,8986.0000
a0b9N000000QaoUQAS,00109000009gnWVAAY,0069N000002tXT6QAM,2023-06-21,2023-01-02,Mixed,8138.4500,1674.5300,174.5300
a0b9N000000QatJQAS,00109000009gnWVAAY,0069N000002tXT6QAM,2023-06-21,2023-01-02,Mixed,8437.3000,1730.5000,230.5000
a0b9N000000QergQAC,00109000017SucvAAC,"",2023-06-22,2023-04-03,Mixed,579087.5000,16962.5000,16962.5000
a0b9N000000QjZnQAK,0019N000003WT29QAG,0069N000002uv3cQAA,2023-06-26,2023-03-24,Acquisition,"","",""
a0b9N000000RCySQAW,0010900000IKLHZAA5,0069N000002wRXFQA2,2023-07-06,2023-07-03,Mixed,121061.1300,5971.6300,4181.6300
a0b9N000000RKrgQAG,00109000019J4cEAAS,0069N000002u9K0QAI,2023-07-12,2023-01-09,Liquidation,179490.3000,3716.9000,3716.9000
a0b9N000000RLL8QAO,00109000009gkK1AAI,0069N000002RFoYQAW,2023-07-12,2023-01-13,Mixed,41058.3000,1964.1000,869.1000
a0b9N000000RN8eQAG,00109000009gqrFAAQ,"",2023-07-13,2023-01-13,Acquisition,8580.0000,4556.3000,4556.3000
a0b9N000000RWvKQAW,00109000017SucwAAC,0069N000002yT7NQAU,2023-07-19,2023-01-17,Mixed,44495.9500,1579.0900,999.0900
a0b9N000000RbjUQAS,0019N000004FMv5QAG,0069N000002g6qnQAA,2023-07-21,2023-03-21,Mixed,4878.2800,-4820.6600,-5600.6600
a0b9N000000Re5vQAC,0019N000005029QQAQ,0069N000002xYJTQA2,2023-07-24,2023-07-24,Mixed,11899.6000,1385.2000,1385.2000
a0b9N000000RsFIQA0,00109000009gnWVAAY,0069N000002xrfyQAA,2023-07-31,2023-01-02,Mixed,8025.7500,1700.2700,200.2700
a0b9N000000S6YaQAK,00109000009h59NAAQ,"",2023-08-10,2023-01-04,Acquisition,24581.4000,10435.5000,3235.5000
a0b9N000000SGNVQA4,00109000009gpRvAAI,0069N0000033V5mQAE,2023-08-18,2023-04-20,Mixed,9875.0000,728.0000,512.0000
a0b9N000000SGOYQA4,00109000009gpRvAAI,0069N0000033VEeQAM,2023-08-18,2023-04-20,Mixed,2668.0000,290.0000,113.0000
a0b9N000000SP0eQAG,00109000009gnWVAAY,0069N0000032p9NQAQ,2023-08-25,2023-01-02,Mixed,8812.5000,1859.7200,359.7200
a0b9N000000SP2zQAG,0010900001QR8QIAA1,0069N0000034N9FQAU,2023-08-25,2023-03-02,Mixed,35350.8400,1505.0800,405.0800
a0b9N000000SdoKQAS,00109000017SucvAAC,"",2023-09-03,2023-04-03,Mixed,454634.6600,8830.4400,8830.4400
a0b9N000000Sq9mQAC,00109000019J4dRAAS,0060900000LT9p2AAD,2023-09-07,2023-01-10,Stock transfer,0.0000,0.0000,0.0000
a0b9N000000TOcZQAW,0010900001QQ5fFAAT,"",2023-09-15,2023-09-15,Mixed,1365.0000,1053.0000,418.0000
a0b9N000000TOgWQAW,0010900001UAhWqAAL,0069N0000037wz5QAA,2023-09-15,2023-05-16,Mixed,12845.7900,1600.8100,820.8100
a0b9N000000TTUYQA4,0019N000003R2RSQA0,0069N000002yW7qQAE,2023-09-18,2023-02-15,Mixed,5730.8200,174.7200,174.7200
a0b9N000000TZRNQA4,00109000009gqrFAAQ,"",2023-09-20,2023-01-13,Acquisition,10600.2000,5145.4500,5145.4500
a0b9N000000ThjeQAC,0010900000BUgbwAAD,0069N0000037e9bQAA,2023-09-22,2023-07-31,Mixed,9327.4000,1659.0400,159.0400
a0b9N000000ThlzQAC,0010900000BUgbwAAD,0069N0000037e9bQAA,2023-09-22,2023-07-31,Mixed,9454.0500,1681.6500,181.6500
a0b9N000000TlU1QAK,00109000017SucvAAC,"",2023-09-24,2023-04-03,Mixed,980228.0000,19065.0000,19065.0000
a0b9N000000Tlf4QAC,00109000009gnWVAAY,0069N0000037xoaQAA,2023-09-25,2023-01-02,Mixed,8560.0500,1752.0500,252.0500
a0b9N000000TqTWQA0,00109000019J4dRAAS,0069N0000036ihcQAA,2023-09-26,2023-01-10,Liquidation,96406.8600,2466.8600,2466.8600
a0b9N000000TxejQAC,0010900000X2n0wAAB,"",2023-09-27,2023-01-17,Mixed,32854.8000,0.0000,746.7000
a0b9N000000U2YaQAK,00109000017Se3TAAS,"",2023-09-29,2023-01-30,Mixed,4912.8000,910.8000,460.8000
a0b9N000000U3RZQA0,0019N000004I0XRQA0,0069N0000031qxRQAQ,2023-09-29,2023-03-21,Acquisition,23665.5000,1087.9700,1087.9700
a0b9N000000U46hQAC,00109000009gnWVAAY,0069N0000037xoaQAA,2023-09-29,2023-01-02,Mixed,9811.6500,2012.0500,512.0500
a0b9N000000U87GQAS,00109000019J4dRAAS,0060900000LT9p2AAD,2023-10-02,2023-01-10,Stock transfer,0.0000,0.0000,0.0000
a0b9N000000UPRJQA4,0019N000004HcHeQAK,0069N0000039F83QAE,2023-10-06,2023-03-24,Mixed,48970.0500,809.5700,646.6300
a0b9N000000URD0QAO,00109000009gsfhAAA,0069N000003Bww2QAC,2023-10-09,2023-03-08,Mixed,117549.3000,2478.9000,528.9000
a0b9N000000UdJ8QAK,0010900000ivpuHAAQ,"",2023-10-10,2023-01-09,Acquisition,1486.8000,539.9700,539.9700
a0b9N000000VUjuQAG,00109000019J4cEAAS,"",2023-10-12,2023-01-09,Liquidation,44785.3600,1333.8600,-1616.1400
a0b9N000000WBFBQA4,00109000019J4cEAAS,"",2023-10-18,2023-01-09,Liquidation,65733.2200,3166.6600,3074.4300
a0b9N000000WBbMQAW,00109000009gqrFAAQ,"",2023-10-18,2023-01-13,Acquisition,9888.4000,4685.5100,4685.5100
a0b9N000000XAYuQAO,00109000017SucwAAC,0069N000003DuIBQA0,2023-10-20,2023-01-17,Mixed,49851.1700,1615.8600,1095.8600
a0b9N000000XyEJQA0,0010900001THEmhAAH,0069N000003EnaeQAC,2023-10-25,2023-01-26,Acquisition,51375.6000,2894.4000,1594.4000
a0b9N000000Yrw4QAC,0019N000004JzAQQA0,0069N000003Gi2ZQAS,2023-11-05,2023-04-04,Mixed,7070.7000,1010.1000,1010.1000
a0b9N000000YwP9QAK,0010900000ivpuHAAQ,"",2023-11-07,2023-01-09,Acquisition,2028.0000,856.6400,856.6400
a0b9N000000ZOmRQAW,0019N000003WT29QAG,0069N000003HHBuQAO,2023-11-10,2023-03-24,Mixed,44576.5400,942.4000,292.4000
a0b9N000000ZXJxQAO,0010900000BUgbwAAD,0069N000003CfRBQA0,2023-11-14,2023-07-31,Mixed,9145.6400,1420.4400,0.4400
a0b9N000000ZYavQAG,0010900000BUgbwAAD,0069N000003IGZeQAO,2023-11-14,2023-07-31,Mixed,8719.9200,1360.5200,10.5200
a0b9N000000ZeCKQA0,0019N000003XmyfQAC,0069N0000032qTlQAI,2023-11-16,2023-05-09,Acquisition,164221.4400,8482.4500,7769.8500
a0b9N000000ZrmkQAC,0019N000003BkypQAC,0069N000003JfnDQAS,2023-11-21,2023-03-23,Acquisition,201297.3000,14286.0300,14286.0300
a0b9N000000Zw7tQAC,0010900000BUgbwAAD,0069N000003IGZeQAO,2023-11-22,2023-07-31,Mixed,8749.2800,1561.4000,151.4000
a0b9N000000aOlpQAE,0019N000005RdlPQAS,"",2023-11-29,2023-11-29,Acquisition,191.7000,191.7000,191.7000
a0b9N000000aP8KQAU,00109000009gqrFAAQ,0060900000LT9p2AAD,2023-11-30,2023-01-13,Acquisition,"","",""
a0b9N000000ae2mQAA,00109000013Te7uAAC,0069N000002fxbVQAQ,2023-12-04,2023-01-17,Acquisition,183630.6000,2914.2800,1176.5500
a0b9N000000atyzQAA,0010900000BUgbwAAD,"",2023-12-06,2023-07-31,Mixed,9187.5600,1548.1800,-101.8200
a0b9N000000b0dmQAA,0019N000004I0XRQA0,"",2023-12-07,2023-03-21,Acquisition,73655.4800,2914.7400,2914.7400
a0b9N000000bcdpQAA,00109000019J4dRAAS,0060900000LT9p2AAD,2023-12-18,2023-01-10,Stock transfer,0.0000,0.0000,0.0000
a0b9N000000budLQAQ,00109000009gqrFAAQ,"",2023-12-27,2023-01-13,Acquisition,12778.8000,7182.8000,7182.8000
a0b9N000000cKAgQAM,0019N000003BkypQAC,0069N000003T1AwQAK,2024-01-05,2023-03-23,Acquisition,"","",""
a0b9N000000csF1QAI,0019N000005cM6KQAU,0069N000003SnFvQAK,2024-01-17,2023-12-04,Acquisition,"","",""
a0b9N000000d72KQAQ,0010900001TGvjuAAD,"",2024-01-18,2023-02-01,Liquidation,7904.8000,"",""
a0b9N000000dDjVQAU,0019N000005cM6KQAU,0069N000003SngmQAC,2024-01-19,2023-12-04,Acquisition,"","",""
a0b9N000000dH5AQAU,0019N0000051w4KQAQ,"",2024-01-23,2023-10-19,Mixed,30671.9500,710.0700,-689.9300
a0b9N000000dIl3QAE,0010900000YLAygAAH,0069N000003RNPmQAO,2024-01-25,2023-01-19,Mixed,182081.5700,3096.7200,2201.7200
a0b9N000000dJ5UQAU,0019N000005cM6KQAU,0069N000003SnFvQAK,2024-01-26,2023-12-04,Acquisition,"","",""
a0b9N000000dLMBQA2,00109000011ihSOAAY,0069N000003X8R9QAK,2024-01-30,2024-01-30,Acquisition,2652.0000,-1230.5000,-1230.5000
a0b9N000000dMpBQAU,0019N000005cM6KQAU,0069N000003SnFvQAK,2024-02-01,2023-12-04,Acquisition,"","",""
a0b9N000000dPzSQAU,0019N000005cM6KQAU,0069N000003SnFvQAK,2024-02-06,2023-12-04,Acquisition,"","",""
a0b9N000000dRj9QAE,0019N000006A6atQAC,0069N000003X8R9QAK,2024-02-09,2024-02-09,Stock transfer,0.0000,0.0000,-196.0000
a0b9N000000ddtZQAQ,0019N000004FMv5QAG,"",2024-02-21,2023-03-21,Acquisition,"","",""
a0b9N000000ddteQAA,0019N000004I0XRQA0,0069N000003ROfaQAG,2024-02-21,2023-03-21,Acquisition,5587.5800,-50504.7900,-51204.7900
a0b9N000000di6lQAA,0019N000006DOPEQA4,0069N000003a6ROQAY,2024-03-04,2024-02-26,Mixed,9848.2000,1213.6000,621.6000
a0b9N000000di7oQAA,00109000009gqrFAAQ,"",2024-03-04,2023-01-13,Acquisition,"","",""
a0b9N000000di8hQAA,00109000009gqrFAAQ,"",2024-03-04,2023-01-13,Acquisition,"","",""
a0b9N000000djT1QAI,00109000019J4dRAAS,0060900000LT9p2AAD,2024-03-07,2023-01-10,Stock transfer,0.0000,0.0000,0.0000
a0b9N000000dkfmQAA,0019N000003XmyfQAC,0069N000003ZSs1QAG,2024-03-11,2023-05-09,Acquisition,"","",""
a0bOj000001L9e1IAC,00109000009gqrFAAQ,"",2024-03-18,2023-01-13,Acquisition,"","",""
a0b9N000000Io2sQAC,00109000019IFweAAG,0060900000JGe9RAAT,2023-01-08,2023-01-08,Mixed,121331.8100,2154.9900,1345.0200
a0b9N000000IxKiQAK,0019N000003jRSHQA2,0069N000002VUDWQA4,2023-01-12,2023-01-12,Acquisition,197577.6000,5613.0000,4963.0000
a0b9N000000IxeBQAS,0019N000003JyMeQAK,0069N000002VXUiQAO,2023-01-12,2023-01-12,Mixed,41592.4600,3401.7100,2451.7100
a0b9N000000IzhvQAC,00109000009gqrFAAQ,"",2023-01-13,2023-01-13,Acquisition,9416.4000,4428.1000,4428.1000
a0b9N000000J0dXQAS,00109000009gkK1AAI,0069N000002RFoYQAW,2023-01-13,2023-01-13,Mixed,39882.0200,2327.0200,1232.0200
a0b9N000000JJMxQAO,00109000019IFweAAG,0060900000JGe9RAAT,2023-01-24,2023-01-08,Mixed,215252.3600,3823.2000,2986.3700
a0b9N000000JL2rQAG,00109000009gn47AAA,0069N000002XZzvQAG,2023-01-24,2023-01-24,Mixed,7214.3200,1080.3200,880.3200
a0b9N000000JLuwQAG,0019N000003qPBeQAM,0069N000002XgV4QAK,2023-01-25,2023-01-25,Mixed,54835.2000,2846.0800,1338.3000
a0b9N000000JQ9FQAW,00109000019J4dRAAS,0060900000LT9p2AAD,2023-01-26,2023-01-10,Stock transfer,0.0000,0.0000,0.0000
a0b9N000000JnIxQAK,00109000019IFweAAG,0060900000JGe9RAAT,2023-02-06,2023-01-08,Mixed,269191.7800,4803.6100,4803.6100
a0b9N000000JuNFQA0,0010900000IK8QWAA1,0069N000002SQWYQA4,2023-02-08,2023-01-19,Acquisition,208862.9400,6591.8400,6135.5500
a0b9N000000KIvgQAG,0019N000003vGPVQA2,0069N000002ZaniQAC,2023-02-13,2023-02-13,Mixed,26749.0000,2679.5000,2394.5000
a0b9N000000KRoTQAW,00109000009gkQdAAI,0069N000002bNQTQA2,2023-02-15,2023-02-15,Mixed,36201.4000,1225.6000,225.6000
a0b9N000000Kyv2QAC,00109000019J4cEAAS,00609000002jmyTAAQ,2023-02-22,2023-01-09,Liquidation,124662.0000,3081.0000,3081.0000
a0b9N000000LkseQAC,00109000019J4bVAAS,0069N000002VXUiQAO,2023-03-02,2023-01-12,Liquidation,39058.2500,1475.0500,1175.0500
a0b9N000000Lx06QAC,00109000017SucwAAC,0060900000JGcd1AAD,2023-03-03,2023-01-17,Mixed,59312.9900,4277.3000,3697.3000
a0b9N000000MucFQAS,00109000009gqrFAAQ,"",2023-03-28,2023-01-13,Acquisition,2997.2000,2926.4000,2926.4000
a0b9N000000NJ1wQAG,0019N000003lqRUQAY,0069N000002eRA2QAM,2023-04-04,2023-01-16,Acquisition,"","",""
a0b9N000000NUfDQAW,00109000009gkKkAAI,0069N000002gTmgQAE,2023-04-11,2023-03-20,Mixed,9247.7000,1321.1000,371.1000
a0b9N000000NaxtQAC,0010900000IK8QWAA1,0069N000002SQWYQA4,2023-04-13,2023-01-19,Acquisition,190956.0400,4142.8700,3694.1800
a0b9N000000Njp2QAC,00109000009h59NAAQ,0069N000002ksrLQAQ,2023-04-18,2023-01-04,Mixed,21352.8000,2936.8000,1361.8000
a0b9N000000Nw3vQAC,00109000019J4cnAAC,0060900000LT9p2AAD,2023-04-21,2023-01-17,Stock transfer,0.0000,0.0000,0.0000
a0b9N000000OBftQAG,0019N000004N8HTQA0,0069N000002j1QBQAY,2023-04-26,2023-04-18,Mixed,13815.6000,3096.6000,2296.6000
a0b9N000000OBqpQAG,0010900001TGvjuAAD,0069N000002ljPaQAI,2023-04-26,2023-02-01,Liquidation,35633.7500,6835.7500,3435.7500
a0b9N000000OswBQAS,00109000009gkKkAAI,0069N000002gTmgQAE,2023-05-08,2023-03-20,Mixed,8801.1000,1257.3000,257.3000
a0b9N000000OzybQAC,0019N000004aRgvQAE,0069N000002mycMQAQ,2023-05-09,2023-05-09,Mixed,5040.7500,729.3000,379.3000
a0b9N000000P1MuQAK,00109000009gkKkAAI,0069N000002l3IyQAI,2023-05-10,2023-03-20,Mixed,8640.0000,1036.8000,36.8000
a0b9N000000P4WOQA0,0019N000003uTtYQAU,0069N000002nkYlQAI,2023-05-10,2023-05-10,Mixed,13088.8200,1035.8700,315.8700
a0b9N000000PLXAQA4,00109000009gsfhAAA,0069N000002oYugQAE,2023-05-15,2023-03-08,Mixed,126236.0000,3517.7500,1567.7500
a0b9N000000PR6pQAG,0019N000004hottQAA,0069N000002olhCQAQ,2023-05-17,2023-05-17,Liquidation,46847.8700,1187.4100,637.4100
a0b9N000000PS7kQAG,00109000009gqrFAAQ,"",2023-05-19,2023-01-13,Acquisition,10533.6000,4499.2300,4499.2300
a0b9N000000PScWQAW,0019N00000481gkQAA,0069N000002p2UAQAY,2023-05-19,2023-03-02,Mixed,103390.9300,13995.1000,11495.1000
a0b9N000000PtlrQAC,0010900000X2n0wAAB,0069N000002rVdaQAE,2023-06-05,2023-01-17,Mixed,40290.0200,397.8700,-132.1300
a0b9N000000PtnjQAC,00109000009gkKkAAI,0069N000002rVjsQAE,2023-06-05,2023-03-20,Mixed,5503.7000,1522.3000,1117.3000
a0b9N000000QBJTQA4,0010900001TGvjuAAD,"",2023-06-14,2023-02-01,Liquidation,32764.5000,16746.3000,16746.3000
a0b9N000000QXqpQAG,00109000009gqrFAAQ,"",2023-06-20,2023-01-13,Acquisition,"","",""
a0b9N000000Qbv0QAC,00109000009gqrFAAQ,"",2023-06-21,2023-01-13,Acquisition,11730.0000,5519.0200,5519.0200
a0b9N000000QnkmQAC,00109000017SucwAAC,0069N000002rWklQAE,2023-06-27,2023-01-17,Mixed,57238.5000,14167.4000,13587.4000
a0b9N000000R6HtQAK,0019N0000039J9IQAU,"",2023-07-04,2023-01-08,Mixed,501886.9900,9057.9100,9057.9100
a0b9N000000R8wxQAC,0019N0000046CP9QAM,0069N000002wQkhQAE,2023-07-05,2023-07-05,Acquisition,191619.8500,9335.2200,9335.2200
a0b9N000000R8x2QAC,00109000017SucwAAC,0069N000002wQVRQA2,2023-07-05,2023-01-17,Mixed,48460.9400,1995.8400,1315.8400
a0b9N000000RBdmQAG,0019N000004HcHeQAK,0069N000002t5DWQAY,2023-07-06,2023-03-24,Mixed,47907.4300,1057.2600,987.1000
a0b9N000000RZ8QQAW,0010900000ivpuHAAQ,0069N000002atDcQAI,2023-07-20,2023-01-09,Acquisition,1302.0000,360.1200,360.1200
a0b9N000000RbZSQA0,0019N000004I0XRQA0,0069N000002g6qnQAA,2023-07-21,2023-03-21,Mixed,55187.4100,5990.0400,5210.0400
a0b9N000000RyLuQAK,0019N000004j6BkQAI,0069N000002xUOyQAM,2023-08-03,2023-08-03,Mixed,24827.2000,1683.2000,983.2000
a0b9N000000Rz0pQAC,0010900000IK8QWAA1,0069N000002yn1NQAQ,2023-08-03,2023-01-19,Acquisition,189521.0000,1702.8100,1702.8100
a0b9N000000S0iVQAS,0019N000004HcHeQAK,"",2023-08-04,2023-03-24,Mixed,53395.6600,318.3500,249.4100
a0b9N000000S3DcQAK,00109000017Se3TAAS,"",2023-08-08,2023-01-30,Mixed,6183.2000,368.9000,-351.1000
a0b9N000000SKTRQA4,00109000009gsfhAAA,0069N0000033zPnQAI,2023-08-22,2023-03-08,Mixed,120831.4000,1684.9000,-265.1000
a0b9N000000SorEQAS,00109000019J4cnAAC,0060900000LT9p2AAD,2023-09-07,2023-01-17,Stock transfer,0.0000,0.0000,0.0000
a0b9N000000SuKiQAK,0010900000UxhwaAAB,0069N0000036hoQQAQ,2023-09-08,2023-01-20,Mixed,8523.3000,946.1200,546.1200
a0b9N000000SyoqQAC,0010900000ivpuHAAQ,0069N000002atDcQAI,2023-09-11,2023-01-09,Acquisition,1680.0000,422.2200,422.2200
a0b9N000000SzLnQAK,00109000009gkK1AAI,0069N000002RFoYQAW,2023-09-11,2023-01-13,Mixed,45919.9600,4711.3600,3616.3600
a0b9N000000TT2XQAW,00109000009gnWVAAY,0069N0000037xoaQAA,2023-09-18,2023-01-02,Mixed,8463.2000,1738.0800,238.0800
a0b9N000000TTCMQA4,0019N000004HcHeQAK,"",2023-09-18,2023-03-24,Mixed,49702.2000,938.2900,683.9300
a0b9N000000TZYdQAO,00109000009gqrFAAQ,"",2023-09-20,2023-01-13,Acquisition,"","",""
a0b9N000000TpdHQAS,0010900001TGvjuAAD,"",2023-09-26,2023-02-01,Liquidation,26348.4000,12611.2000,11361.2000
a0b9N000000U0ZtQAK,0010900000XVmooAAD,0069N0000039ftSQAQ,2023-09-28,2023-02-14,Mixed,15764.1700,1642.2700,642.2700
a0b9N000000UZIyQAO,0019N000005LEKEQA4,0069N000003BFuxQAG,2023-10-10,2023-10-10,Acquisition,13020.3000,997.0500,677.0500
a0b9N000000UiR4QAK,00109000009gqrFAAQ,"",2023-10-11,2023-01-13,Acquisition,10407.6000,4870.4900,4870.4900
a0b9N000000YXhjQAG,00109000009gnWVAAY,0069N000003DFFsQAO,2023-10-30,2023-01-02,Mixed,9588.2000,2036.1100,536.1100
a0b9N000000YXkiQAG,00109000009gnWVAAY,0069N000003DFFsQAO,2023-10-30,2023-01-02,Mixed,9588.2000,2036.1100,536.1100
a0b9N000000YZpWQAW,0019N000003TWNLQA4,"",2023-10-31,2023-10-31,Liquidation,0.0100,"",""
a0b9N000000YdEJQA0,00109000013Te7uAAC,0069N000002fxbVQAQ,2023-11-01,2023-01-17,Acquisition,180310.8600,-2932.3000,-4473.9100
a0b9N000000YqUzQAK,0019N0000035zx2QAA,0069N000003GT0GQAW,2023-11-03,2023-10-06,Mixed,25106.5300,651.7300,101.7300
a0b9N000000ZQyAQAW,00109000019J4dRAAS,0069N000002Pm5jQAC,2023-11-10,2023-01-10,Liquidation,29574.9000,5025.8000,4605.8000
a0b9N000000ZTM9QAO,00109000009gqfkAAA,0069N000003IFtVQAW,2023-11-13,2023-11-13,Mixed,2077.0000,234.5000,234.5000
a0b9N000000Zke4QAC,00109000009gkOwAAI,"",2023-11-17,2023-03-01,Mixed,176265.6000,-220.5600,-1188.6600
a0b9N000000ZthRQAS,0010900001TGvjuAAD,0069N000003EnaeQAC,2023-11-21,2023-02-01,Liquidation,49561.9400,4168.3400,4168.3400
a0b9N000000atuyQAA,00109000009gnWVAAY,0069N000003N15yQAC,2023-12-06,2023-01-02,Mixed,8173.9600,1713.2200,213.2200
a0b9N000000bDfHQAU,0019N000004AynWQAS,0069N000003O5zZQAS,2023-12-11,2023-03-15,Mixed,21278.4000,1716.0000,1016.0000
a0b9N000000bDhIQAU,0019N000004ppuHQAQ,0069N000003IH4NQAW,2023-12-11,2023-12-11,Mixed,6402.0000,640.2000,190.2000
a0b9N000000bLHSQA2,0010900000BUgbwAAD,"",2023-12-12,2023-07-31,Mixed,8948.6400,1637.4400,-12.5600
a0b9N000000bkV0QAI,0019N0000050bOCQAY,0069N000003NVDgQAO,2023-12-20,2023-07-14,Liquidation,83632.3500,3870.7900,3090.7900
